accession	reason
SRR34290647	busco_completeness_below_0.5
SRR34290648	busco_completeness_below_0.5
SRR34290649	busco_completeness_below_0.5
SRR34290650	busco_completeness_below_0.5
SRR34290651	busco_completeness_below_0.5
SRR34290652	busco_completeness_below_0.5
SRR34290653	busco_completeness_below_0.5
SRR34290654	busco_completeness_below_0.5
SRR34290655	busco_completeness_below_0.5
SRR34290656	busco_completeness_below_0.5
SRR34290657	busco_completeness_below_0.5
SRR34290658	busco_completeness_below_0.5
SRR34290659	busco_completeness_below_0.5
SRR34290660	busco_completeness_below_0.5
SRR34290661	busco_completeness_below_0.5
SRR34290662	busco_completeness_below_0.5
SRR34290663	busco_completeness_below_0.5
SRR34290664	busco_completeness_below_0.5
SRR34290665	busco_completeness_below_0.5
SRR34290666	busco_completeness_below_0.5
SRR34290667	busco_completeness_below_0.5
SRR34290668	busco_completeness_below_0.5
SRR34290669	busco_completeness_below_0.5
SRR34290670	busco_completeness_below_0.5
SRR34290671	busco_completeness_below_0.5
SRR34290672	busco_completeness_below_0.5
SRR34290673	busco_completeness_below_0.5
SRR34290674	busco_completeness_below_0.5
SRR34290675	busco_completeness_below_0.5
SRR34290676	busco_completeness_below_0.5
SRR34290677	busco_completeness_below_0.5
SRR34290678	busco_completeness_below_0.5
SRR34290679	busco_completeness_below_0.5
SRR34290680	busco_completeness_below_0.5
SRR34290681	busco_completeness_below_0.5
SRR34290682	busco_completeness_below_0.5
SRR34290683	busco_completeness_below_0.5
SRR34290684	busco_completeness_below_0.5
SRR34290685	busco_completeness_below_0.5
SRR34290686	busco_completeness_below_0.5
SRR34371627	busco_completeness_below_0.5
SRR3476466	busco_completeness_below_0.5
SRR3486361	busco_completeness_below_0.5
SRR3491932	busco_completeness_below_0.5
SRR35030388	busco_completeness_below_0.5
SRR35143078	busco_completeness_below_0.5
SRR3523286	busco_completeness_below_0.5
SRR3523287	busco_completeness_below_0.5
SRR35273152	busco_completeness_below_0.5
SRR35645576	busco_completeness_below_0.5
SRR35736104	busco_completeness_below_0.5
SRR35736105	busco_completeness_below_0.5
SRR35758276	busco_completeness_below_0.5
SRR35838988	busco_completeness_below_0.5
SRR35905764	busco_completeness_below_0.5
SRR35919770	busco_completeness_below_0.5
SRR36193602	busco_completeness_below_0.5
SRR364069	busco_completeness_below_0.5
SRR36581763	busco_completeness_below_0.5
SRR36698064	busco_completeness_below_0.5
SRR36849097	busco_completeness_below_0.5
SRR3696506	busco_completeness_below_0.5
SRR37095792	busco_completeness_below_0.5
SRR37245859	busco_completeness_below_0.5
SRR37246170	busco_completeness_below_0.5
SRR37246940	busco_completeness_below_0.5
SRR37248035	busco_completeness_below_0.5
SRR37248334	busco_completeness_below_0.5
SRR37248489	busco_completeness_below_0.5
SRR37248618	busco_completeness_below_0.5
SRR37248672	busco_completeness_below_0.5
SRR37248737	busco_completeness_below_0.5
SRR37249396	busco_completeness_below_0.5
SRR37249704	busco_completeness_below_0.5
SRR37317885	busco_completeness_below_0.5
SRR3883620	busco_completeness_below_0.5
SRR392104	busco_completeness_below_0.5
SRR4017196	busco_completeness_below_0.5
SRR4034942	busco_completeness_below_0.5
SRR4105779	busco_completeness_below_0.5
SRR4105783	busco_completeness_below_0.5
SRR4333245	busco_completeness_below_0.5
SRR4473594	busco_completeness_below_0.5
SRR4473609	busco_completeness_below_0.5
SRR503601	busco_completeness_below_0.5
SRR504368	busco_completeness_below_0.5
SRR504370	busco_completeness_below_0.5
SRR5155379	busco_completeness_below_0.5
SRR5167034	missing_busco_summary
SRR5278958	busco_completeness_below_0.5
SRR5353310	busco_completeness_below_0.5
SRR5366312	busco_completeness_below_0.5
SRR5463077	busco_completeness_below_0.5
SRR5659280	busco_completeness_below_0.5
SRR5682048	busco_completeness_below_0.5
SRR5682051	busco_completeness_below_0.5
SRR5682065	busco_completeness_below_0.5
SRR5807898	busco_completeness_below_0.5
SRR5807910	busco_completeness_below_0.5
SRR5883464	busco_completeness_below_0.5
SRR5997526	busco_completeness_below_0.5
SRR5997536	busco_completeness_below_0.5
SRR6001143	busco_completeness_below_0.5
SRR6050543	busco_completeness_below_0.5
SRR6127588	busco_completeness_below_0.5
SRR619789	missing_busco_summary
SRR619797	busco_completeness_below_0.5
SRR6206403	busco_completeness_below_0.5
SRR6218424	busco_completeness_below_0.5
SRR6221592	busco_completeness_below_0.5
SRR6221629	busco_completeness_below_0.5
SRR6221641	busco_completeness_below_0.5
SRR6269778	busco_completeness_below_0.5
SRR6374682	busco_completeness_below_0.5
SRR6374687	busco_completeness_below_0.5
SRR6378486	busco_completeness_below_0.5
SRR6391480	busco_completeness_below_0.5
SRR6391487	busco_completeness_below_0.5
SRR6434974	busco_completeness_below_0.5
SRR6434977	busco_completeness_below_0.5
SRR6434982	busco_completeness_below_0.5
SRR6434984	busco_completeness_below_0.5
SRR6434988	busco_completeness_below_0.5
SRR6434989	busco_completeness_below_0.5
SRR6434990	busco_completeness_below_0.5
SRR6434993	busco_completeness_below_0.5
SRR6434994	busco_completeness_below_0.5
SRR6434996	busco_completeness_below_0.5
SRR6434999	busco_completeness_below_0.5
SRR6435005	busco_completeness_below_0.5
SRR6435011	busco_completeness_below_0.5
SRR6435015	busco_completeness_below_0.5
SRR6435022	busco_completeness_below_0.5
SRR6435023	busco_completeness_below_0.5
SRR6435027	busco_completeness_below_0.5
SRR6435335	busco_completeness_below_0.5
SRR6454141	busco_completeness_below_0.5
SRR6516149	missing_busco_summary
SRR6516157	busco_completeness_below_0.5
SRR6668197	busco_completeness_below_0.5
SRR6669847	busco_completeness_below_0.5
SRR6767531	busco_completeness_below_0.5
SRR6767535	busco_completeness_below_0.5
SRR6794435	busco_completeness_below_0.5
SRR6798190	busco_completeness_below_0.5
SRR6799516	busco_completeness_below_0.5
SRR6814488	busco_completeness_below_0.5
SRR6944332	busco_completeness_below_0.5
SRR7057949	busco_completeness_below_0.5
